,stim_name,start,stop,ev_use,duration
4,SX46.wav,63.9131014793,67.8966014793,True,3.9835
16,SX242.wav,128.782201479,132.765401479,True,3.9832
22,SX325.wav,159.596001479,163.580501479,True,3.9845
25,SX89.wav,175.537801479,179.522301479,True,3.9845
28,SX241.wav,190.544801479,194.529201479,True,3.9844
31,SX399.wav,207.354801479,211.339001479,True,3.9842
43,SX359.wav,267.883701479,271.867601479,True,3.9839
46,SX436.wav,285.360501479,289.345101479,True,3.9846
52,SX82.wav,316.360701479,320.343801479,True,3.9831
67,SX331.wav,393.380701479,397.365001479,True,3.9843
70,SX429.wav,407.619501479,411.604101479,True,3.9846
76,SX358.wav,439.870101479,443.854801479,True,3.9847
82,SX204.wav,469.266501479,473.251001479,True,3.9845
88,SX416.wav,499.781601479,503.765701479,True,3.9841
94,SX212.wav,533.568301479,537.552201479,True,3.9839
97,SX421.wav,548.943101479,552.926401479,True,3.9833
100,SX341.wav,564.116601479,568.100201479,True,3.9836
103,SX326.wav,578.889901479,582.873501479,True,3.9836
109,SX397.wav,611.305601479,615.291101479,True,3.9855
115,SX57.wav,642.188801479,646.173001479,True,3.9842
121,SX415.wav,674.156101479,678.140001479,True,3.9839
130,SX90.wav,719.160701479,723.144101479,True,3.9834
151,SX42.wav,831.103301479,835.086901479,True,3.9836
154,SX77.wav,846.543401479,850.527901479,True,3.9845
157,SX31.wav,861.633801479,865.618301479,True,3.9845
160,SX391.wav,876.523901479,880.508401479,True,3.9845
163,SX248.wav,891.147801479,895.131401479,True,3.9836
166,SX66.wav,909.726701479,913.710601479,True,3.9839
169,SX178.wav,924.549601479,928.533901479,True,3.9843
